daun,suhu,kelembapan,hama,mitigasi
keriting,panas,tinggi,trips,"Semprot insektisida berbahan aktif abamektin atau spinosad, pasang perangkap kuning"
keriting,panas,sedang,trips,"Gunakan insektisida nabati (ekstrak bawang putih/neem)"
keriting,panas,rendah,tungau,"Gunakan akarisida ringan dan tingkatkan frekuensi penyiraman"
keriting,normal,rendah,tungau,"Semprot akarisida berbahan propargit, jaga kelembapan tanah"
keriting,normal,sedang,tungau,"Gunakan akarisida alami dan pantau suhu lingkungan"
keriting,dingin,sedang,tungau,"Tingkatkan suhu dan ventilasi, semprot belerang mikron"
keriting,dingin,tinggi,tungau,"Kurangi kelembapan, atur pencahayaan"
bercak,normal,tinggi,cescospora,"Semprot fungisida mankozeb atau klorotalonil, buang daun terinfeksi"
bercak,normal,sedang,cescospora,"Pantau kelembapan, hindari penyiraman malam hari"
bercak,panas,tinggi,cescospora,"Kurangi kelembapan, tingkatkan sirkulasi udara"
bercak,dingin,tinggi,cescospora,"Gunakan fungisida sistemik, buang daun sakit"
bercak,normal,rendah,cescospora,"Tingkatkan kelembapan, hindari sinar matahari langsung"
bercak,panas,sedang,cescospora,"Kurangi penyiraman, semprot fungisida ringan"
bercak,dingin,sedang,cescospora,"Perbaiki drainase dan sirkulasi udara"
menguning,normal,sedang,kekurangan_nutrisi,"Berikan pupuk NPK seimbang, periksa pH tanah"
menguning,dingin,tinggi,kekurangan_nutrisi,"Perbaiki drainase, tambah unsur mikro Fe dan Mg"
menguning,panas,sedang,kekurangan_nutrisi,"Tambahkan pupuk daun dan siram teratur"
menguning,normal,tinggi,kekurangan_nutrisi,"Kurangi air, tambahkan pupuk mikro"
menguning,normal,rendah,kekurangan_nutrisi,"Tingkatkan frekuensi penyiraman, tambah unsur N"
menguning,panas,tinggi,kekurangan_nutrisi,"Kurangi paparan panas, siram pagi dan sore"
keriting,normal,tinggi,trips,"Gunakan ekstrak daun mimba dan semprot pagi hari"
keriting,dingin,rendah,tungau,"Gunakan akarisida sulfur dan tingkatkan suhu lingkungan"
bercak,panas,rendah,cescospora,"Tingkatkan kelembapan dan kurangi penyiraman malam"
menguning,dingin,sedang,kekurangan_nutrisi,"Gunakan pupuk daun kaya nitrogen"
menguning,panas,rendah,kekurangan_nutrisi,"Gunakan pupuk kalium dan tingkatkan kelembapan"
bercak,dingin,rendah,cescospora,"Gunakan fungisida preventif dan jaga sirkulasi udara"
